"locationID"	"leadtimeValue"	"N"	"scoreValue"	"sd"	"se"	"ci"
"1"	"8000100"	1	12	198.819619468463	250.831604365751	72.4088471509159	159.37079803851
"2"	"8000100"	2	12	337.63712169726	397.919511341158	114.869468494311	252.825995503592
"3"	"8000100"	3	12	391.245028325917	448.23601007904	129.394590539809	284.795573574253
"4"	"8000100"	4	12	438.89330331628	516.828355771051	149.195495164624	328.377070809861
"5"	"8000100"	5	12	476.953115250895	555.543163953878	160.371497627614	352.97528638005
"6"	"8000100"	6	12	473.459255488326	540.69682487853	156.085728696798	343.542372563741
"7"	"8000133"	1	12	61.3555700975674	66.1752855959395	19.103159476258	42.0457705181078
"8"	"8000133"	2	12	101.590107975281	99.7894611382884	28.8067361252392	63.4031987223273
"9"	"8000133"	3	12	122.656483278452	105.591798510282	30.4817266470639	67.0898280041575
"10"	"8000133"	4	12	130.978660408655	107.603071419273	31.0623311247739	68.3677298434801
"11"	"8000133"	5	12	147.762883071222	123.899603404724	35.7667346891026	78.7220522756497
"12"	"8000133"	6	12	147.331371737732	115.643614357158	33.3834359395833	73.4764470958927
"13"	"8000179"	1	12	2.11318776322779	1.6453953719182	0.474984730450169	1.04543434299095
"14"	"8000179"	2	12	3.55470068167465	2.49604107731455	0.720544993947959	1.58590883885778
"15"	"8000179"	3	12	4.00977124637964	2.77737277182187	0.801758458725647	1.76465846963309
"16"	"8000179"	4	12	4.11533139315419	2.85713230188346	0.824783051801395	1.81533525730996
"17"	"8000179"	5	12	4.25651089979823	3.03153040549934	0.875127447835789	1.92614252587544
"18"	"8000179"	6	12	4.27249206714121	3.05706078048425	0.882497432270814	1.94236375224704
"19"	"8000190"	1	12	3.28988537845391	2.18974074976819	0.632123705667078	1.39129489551537
"20"	"8000190"	2	12	5.59112543495065	3.71478128013489	1.07236498603323	2.36025942046102
"21"	"8000190"	3	12	6.29830953471365	4.05091288624459	1.16939782266852	2.57382725393688
"22"	"8000190"	4	12	6.61819979310438	4.3064724763077	1.24317152172698	2.73620207076963
"23"	"8000190"	5	12	6.82344182133488	4.59432349247791	1.32626695256317	2.9190938809115
"24"	"8000190"	6	12	6.91410267588266	4.65465896316421	1.34368430268438	2.9574292100564
"25"	"9783018"	1	12	32.5206875484215	22.062551091054	6.36890990571496	14.0178761884393
"26"	"9783018"	2	12	45.6972529420156	31.0950054802831	8.97635489224718	19.756823909552
"27"	"9783018"	3	12	50.250680067095	35.3019115387479	10.1907840649022	22.4297644965482
"28"	"9783018"	4	12	56.1949986238994	40.9887633821442	11.8324367862154	26.0430177741825
"29"	"9783018"	5	12	59.1816820717189	43.3008921541301	12.499890870669	27.5120743091074
"30"	"9783018"	6	12	58.3455078628576	44.9960551395399	12.9892422736423	28.5891294851217
"31"	"9787525"	1	12	7.1348563077312	5.0982226580554	1.47173011200847	3.23925613619064
"32"	"9787525"	2	12	9.85859243143064	7.19276307703153	2.07637184937068	4.5700636272969
"33"	"9787525"	3	12	10.9991027717231	8.6771469439431	2.50487656194175	5.51319614069515
"34"	"9787525"	4	12	12.0678537404994	10.6281489752096	3.06808233591236	6.7528036912824
"35"	"9787525"	5	12	12.9773014346736	10.8630760851385	3.13589995099106	6.90206925566342
"36"	"9787525"	6	12	13.7296693060577	12.1391124589753	3.50425992295625	7.71282408753058
"37"	"9787915"	1	12	3.0014428573795	2.46599466617428	0.711871342167951	1.56681826000618
"38"	"9787915"	2	12	4.19559248121836	3.81456686918243	1.10117060438215	2.42366015897426
"39"	"9787915"	3	12	4.93532684275831	4.91880773731936	1.41993748561667	3.12526133410013
"40"	"9787915"	4	12	5.52088125062642	6.01203728693183	1.73552567299408	3.81986625121802
"41"	"9787915"	5	12	6.01193145805337	6.52304216242353	1.88304007420525	4.14454325918362
"42"	"9787915"	6	12	6.34334439854232	6.84706792931196	1.97657825607396	4.35041940937859
