Code X_L2E Y_L2E
A6341010  905813.00 2406249.00
A6411110  939813.00 2408149.00
A6431110  935013.00 2408449.00
A6431118  932313.00 2408349.00
A6431120  932513.00 2408349.00
A6443010  932413.00 2407049.00
A6523310  924113.00 2407149.00
A6541110  916213.00 2406849.00
A6543010  916413.00 2408449.00
A6571110  906113.00 2407649.00
A6621210  922613.00 2375249.00
A6653010  919513.00 2378249.00
A6701210  916713.00 2383149.00
A6731220  909513.00 2395849.00
A6761010  898713.00 2403749.00
A6812010  922513.00 2418949.00
A6872010  895613.00 2410849.00
A6903810  892213.00 2409649.00
A6921010  890113.00 2412149.00
A6941010  883613.00 2418749.00
A6941020  882813.00 2419349.00
A6953010  884013.00 2423449.00
A7010610  878313.00 2427949.00
A7030620  874613.00 2435949.00
A7122010  872013.00 2436149.00
A7213010  870713.00 2445849.00
A7352010  865313.00 2452149.00
A7424910  873313.00 2465349.00
A7424920  875013.00 2463149.00
A7430610  880213.00 2464949.00
A7434930  875313.00 2462949.00
A7581010  908313.00 2428749.00
A7581020  911013.00 2428649.00
A7642010  906213.00 2432449.00
A7701010  902813.00 2428549.00
A7821010  885413.00 2439249.00
A7864310  883213.00 2452249.00
A7881010  881313.00 2462749.00
A7930610  881313.00 2476549.00
A8006210  836513.00 2475649.00
A8021010  840213.00 2473449.00
A8071010  854913.00 2468449.00
A8122000  856913.00 2462049.00
A8182010  857313.00 2467849.00
A8322010  862013.00 2478149.00
A8401010  869713.00 2478649.00
A8410400  866813.00 2484249.00
A8431010  872013.00 2479649.00
A8500610  879113.00 2486649.00
A8510205  868513.00 2489349.00
A8603030  875713.00 2489449.00
A8612010  877413.00 2487949.00
A8612020  868813.00 2489249.00
A8712010  891613.00 2479949.00
A8732010  885813.00 2495449.00
A8823010  886513.00 2500149.00
A8853010  892213.00 2500549.00
A8883010  897413.00 2501449.00
A8902010  863313.00 2504949.00
A9001050  944213.00 2416449.00
A9013050  948313.00 2415049.00
A9021010  946613.00 2425849.00
A9021050  944413.00 2419349.00
A9072050  947513.00 2438449.00
A9091050  944313.00 2451549.00
A9091060  946113.00 2441349.00
A9132050  942213.00 2452949.00
A9221010  948613.00 2464949.00
A9251050  943713.00 2468349.00
A9301010  951813.00 2461349.00
A9352050  950713.00 2455549.00
A9402110  974813.00 2471049.00
A9425050  953413.00 2468449.00
A9532010  929613.00 2474949.00
A9612010  917113.00 2478549.00
A9731210  896013.00 2455449.00
A9737310  896013.00 2456349.00
A9752010  898113.00 2468749.00
A9832010  912713.00 2458249.00
A9862010  899913.00 2468349.00
A9942010  905813.00 2486349.00
A9942020  906113.00 2489049.00
B0220010  843413.00 2365249.00
B1052010  847213.00 2363649.00
B1092010  850213.00 2374049.00
B1100000  848013.00 2378549.00
B1150010  847113.00 2387549.00
B1282010  851413.00 2383649.00
B1300010  848413.00 2389149.00
B1322010  864713.00 2367649.00
B1340010  846513.00 2405549.00
B2003810  866913.00 2382049.00
B2012010  863713.00 2383949.00
B2042010  853213.00 2400049.00
B2052010  849213.00 2406849.00
B2130010  840213.00 2423849.00
B2220010  834413.00 2435049.00
B2360010  822613.00 2467049.00
B3003010  821213.00 2466949.00
B3010010  822113.00 2468149.00
B3103010  805013.00 2488549.00
B3120010  806013.00 2503449.00
B3150020  806013.00 2503349.00
B4001010  851113.00 2510049.00
B4021010  848613.00 2507049.00
B4031010  840813.00 2502649.00
B4132010  844313.00 2496549.00
B4224310  826313.00 2507649.00
B4253010  818513.00 2507449.00
B4310200  843213.00 2485149.00
B4312005  845813.00 2480749.00
B4312010  845713.00 2480849.00
B4352010  825113.00 2504049.00
B4402010  835113.00 2487449.00
B4572010  817113.00 2502249.00
B4601010  815613.00 2506049.00
B4631010  804113.00 2518349.00
B5020010  788113.00 2526049.00
B5043010  781413.00 2531449.00
B5172010  784013.00 2521149.00
B5322010  771613.00 2528249.00
B5400010  771713.00 2531749.00
B5572010  765913.00 2533949.00
B5600010  772713.00 2534349.00
B6111010  776413.00 2543349.00
B7000010  772113.00 2545449.00
B7000101  774213.00 2533549.00
B7200000  775213.00 2568749.00
B7200010  777013.00 2569049.00
B7322010  778413.00 2568249.00
C0000010  629813.00 1809249.00
D0137010  714113.00 2563949.00
D0137020  701713.00 2571549.00
D0137050  721413.00 2559349.00
D0156510  724713.00 2570649.00
D0156520  706013.00 2573549.00
D0156560  716813.00 2571049.00
D0158500  708613.00 2576449.00
D0186000  711813.00 2582749.00
D0192220  716813.00 2588049.00
D0192230  724113.00 2590049.00
D0197010  713713.00 2588749.00
D0198010  713613.00 2588449.00
D0206010  718613.00 2586349.00
D0206020  723713.00 2580149.00
E1006010  662513.00 2557849.00
E1563710  655413.00 2586849.00
E1566010  647113.00 2587249.00
E1715510  668913.00 2586049.00
E1726010  675213.00 2588449.00
E1726020  675013.00 2591749.00
E1727510  679613.00 2590449.00
E1766010  685313.00 2593449.00
E1826010  694113.00 2606349.00
E1827010  700013.00 2594149.00
E1827020  692613.00 2605549.00
E1830410  688213.00 2606649.00
E2071105  649613.00 2593449.00
E2071110  648213.00 2593449.00
E2365010  671513.00 2601149.00
E2366610  674213.00 2600949.00
E2367410  663313.00 2604749.00
E2368310  679313.00 2603049.00
E2376010  672013.00 2605949.00
E2400010  679613.00 2612249.00
E2400411  678213.00 2612949.00
E3102110  640513.00 2616449.00
E3346010  660013.00 2620749.00
E3346020  655813.00 2615149.00
E3383510  651613.00 2631449.00
E3412100  650813.00 2632849.00
E3511210  588413.00 2614149.00
E3511220  591413.00 2624949.00
E3516010  629013.00 2613049.00
E3518510  601613.00 2624249.00
E3611210  607013.00 2628049.00
E3646210  616313.00 2622249.00
E3646280  613013.00 2612549.00
E3660600  614813.00 2610249.00
E3666010  621513.00 2616249.00
E3671250  639713.00 2633349.00
E3811210  649913.00 2642749.00
E4035710  593513.00 2634949.00
E4035720  583113.00 2623449.00
E4035730  585213.00 2634749.00
E4036530  584613.00 2634349.00
E4306010  578313.00 2645249.00
E4306020  582313.00 2648849.00
E4905710  614413.00 2656149.00
E4905711  600813.00 2652549.00
E4907005  604613.00 2646949.00
E4907010  609613.00 2654749.00
E4909405  617713.00 2646649.00
E4909410  619113.00 2653649.00
E5105710  557013.00 2645349.00
E5107110  556813.00 2646349.00
E5108210  554213.00 2648349.00
E5205710  550013.00 2641349.00
E5300210  559713.00 2632049.00
E5310210  553113.00 2629749.00
E5400310  564013.00 2606049.00
E5406510  578713.00 2598349.00
E5497010  550513.00 2612349.00
E5505720  570113.00 2590049.00
E6330950  632513.00 2590849.00
E6351402  628113.00 2548649.00
E6351410  640613.00 2548949.00
E6351420  654013.00 2528449.00
E6386070  612713.00 2548849.00
E6397010  608713.00 2554849.00
E6397030  607113.00 2549049.00
E6400910  604513.00 2543149.00
E6406010  610713.00 2530249.00
E6406030  628213.00 2522149.00
E6406035  631313.00 2521949.00
E6426010  591213.00 2535449.00
E6440910  580813.00 2554149.00
E6456510  579413.00 2557049.00
E6470092  567213.00 2563049.00
E6470910  567213.00 2563049.00
E6480930  553613.00 2574149.00
E6495630  553713.00 2574049.00
E6498315  556413.00 2586849.00
G0402020  536313.00 2561549.00
G1003010  528313.00 2556449.00
G2011010  517213.00 2541449.00
G2203010  513913.00 2545349.00
G4002010  500713.00 2521249.00
G4002020  500913.00 2523849.00
G5002010  496113.00 2543349.00
G6003010  477413.00 2537149.00
G7002020  463813.00 2529449.00
G7103010  461113.00 2528149.00
G9003110  450713.00 2502249.00
G9103010  446213.00 2512949.00
G9103020  444213.00 2507149.00
H0020010  775113.00 2300249.00
H0100010  767413.00 2309649.00
H0100020  760013.00 2335149.00
H0203010  768913.00 2294849.00
H0203020  752013.00 2330749.00
H0203030  751213.00 2331149.00
H0210010  752513.00 2342449.00
H0301010  786313.00 2313949.00
H0321010  781313.00 2315749.00
H0321020  773313.00 2324849.00
H0321030  770013.00 2335749.00
H0321040  754413.00 2344149.00
H0400010  751913.00 2348349.00
H0400020  746913.00 2351649.00
H0413010  746313.00 2350949.00
H0503010  731713.00 2362249.00
H0702010  745313.00 2361549.00
H0800010  728513.00 2371249.00
H0800011  729913.00 2367949.00
H0800012  729113.00 2369849.00
H0800013  728513.00 2371249.00
H0810010  714913.00 2390949.00
H0810011  714913.00 2390949.00
H1001010  805613.00 2312249.00
H1051010  783013.00 2353449.00
H1051020  783013.00 2352449.00
H1051030  783013.00 2353349.00
H1113410  789913.00 2356149.00
H1122010  787013.00 2352549.00
H1122020  787613.00 2351749.00
H1201010  778313.00 2360449.00
H1231010  757413.00 2379049.00
H1231011  757413.00 2379049.00
H1302010  776613.00 2391549.00
H1333010  777713.00 2378249.00
H1362010  759513.00 2385549.00
H1501010  733313.00 2394749.00
H1503510  741513.00 2398349.00
H1503910  730413.00 2399449.00
H1513210  727513.00 2394649.00
H1603010  715713.00 2402849.00
H1700010  692913.00 2392349.00
H1713010  690513.00 2386849.00
H1932010  673113.00 2395549.00
H1932020  666413.00 2388049.00
H1940010  655813.00 2377049.00
H1940020  663213.00 2381049.00
H2001010  722913.00 2230649.00
H2001020  721913.00 2234449.00
H2013010  721913.00 2239549.00
H2021010  713813.00 2242149.00
H2051010  692213.00 2270649.00
H2062010  687313.00 2268949.00
H2062020  687413.00 2253849.00
H2073110  680813.00 2270649.00
H2081010  700913.00 2290249.00
H2081020  699713.00 2294549.00
H2083110  688313.00 2279549.00
H2122010  723513.00 2260949.00
H2122020  722913.00 2262849.00
H2133010  720013.00 2258849.00
H2142010  718513.00 2266649.00
H2142020  707713.00 2274449.00
H2142030  708813.00 2272649.00
H2142040  709513.00 2271149.00
H2152310  729613.00 2263449.00
H2152311  729613.00 2263449.00
H2163010  730713.00 2271749.00
H2172310  726013.00 2275149.00
H2172320  716513.00 2277249.00
H2182010  706913.00 2289949.00
H2183110  716813.00 2285649.00
H2221010  689713.00 2320549.00
H2322010  747513.00 2270549.00
H2322020  731013.00 2282349.00
H2323810  732213.00 2279649.00
H2332020  724013.00 2291649.00
H2332030  725113.00 2300649.00
H2342010  709613.00 2314149.00
H2342020  708613.00 2314749.00
H2342030  691413.00 2325749.00
H2402010  754313.00 2270049.00
H2412010  744813.00 2291549.00
H2422310  763013.00 2276149.00
H2434010  765913.00 2284049.00
H2434710  767913.00 2285949.00
H2442310  757213.00 2287749.00
H2442320  757913.00 2286149.00
H2442330  757213.00 2287749.00
H2442340  749313.00 2293449.00
