Code X_L2E Y_L2E
I1031010  445213.00 2458949.00
I1103010  447913.00 2461249.00
I1103271  646513.00 1787049.00
I1111010  445613.00 2462649.00
I1120991  650113.00 1785849.00
I1130131  644813.00 1789549.00
I1143010  447313.00 2474549.00
I1143020  445913.00 2475049.00
I1143030  453113.00 2470849.00
I1143040  451813.00 2471849.00
I1143410  451713.00 2469449.00
I1143420  451813.00 2469649.00
I1143430  451913.00 2471549.00
I1200501  651413.00 1777349.00
I1200701  648913.00 1777249.00
I1203010  450713.00 2479749.00
I1210731  649313.00 1776249.00
I1213110  442313.00 2476249.00
I1213410  442013.00 2481149.00
I1220571  649113.00 1774049.00
I1222251  652813.00 1772549.00
I1224141  647413.00 1774849.00
I1231161  648113.00 1783149.00
I1242581  650913.00 1783349.00
I1260381  653913.00 1780749.00
I1314271  643713.00 1765749.00
I1345171  648013.00 1772549.00
I1345172  648013.00 1772549.00
I2001010  433813.00 2426449.00
I2021010  422913.00 2436049.00
I2023410  416813.00 2437649.00
I2051010  424613.00 2458249.00
I2051030  425313.00 2460449.00
I2051040  426013.00 2454949.00
I2102010  444213.00 2436049.00
I2120261  634813.00 1770649.00
I2134421  636213.00 1769249.00
I2140001  637013.00 1767949.00
I2162010  427113.00 2462549.00
I2181141  637313.00 1776849.00
I2201010  424713.00 2463949.00
I2201015  424713.00 2463949.00
I2203110  428313.00 2465449.00
I2203810  422013.00 2460949.00
I2204571  637613.00 1780249.00
I2210681  633213.00 1776249.00
I2211010  421913.00 2466149.00
I2211030  421613.00 2476249.00
I2213110  417513.00 2464149.00
I2213610  424713.00 2473449.00
I2214271  636513.00 1778949.00
I2244471  633813.00 1780349.00
I2273611  632713.00 1787649.00
I2274341  633213.00 1787449.00
I2324861  634013.00 1776649.00
I2350181  629013.00 1800949.00
I2362091  630613.00 1802649.00
I3033010  435513.00 2419549.00
I3103010  421713.00 2413149.00
I3111361  659413.00 1797949.00
I3113010  418513.00 2415749.00
I3121010  414513.00 2419549.00
I3123210  416513.00 2416349.00
I3131010  406013.00 2424849.00
I3131020  410013.00 2421749.00
I3302020  404213.00 2412749.00
I3343010  395713.00 2427249.00
I3352010  399013.00 2427149.00
I3361010  399813.00 2431349.00
I3361020  398613.00 2433749.00
I3422010  381613.00 2426749.00
I3442310  384213.00 2438649.00
I3452310  386513.00 2433349.00
I3462010  396313.00 2433449.00
I3463010  390913.00 2431449.00
I3463510  379413.00 2420349.00
I3463520  379813.00 2420349.00
I3463610  379613.00 2419649.00
I3501010  393513.00 2440149.00
I3501741  666213.00 1813949.00
I3521010  394913.00 2452049.00
I3521020  393613.00 2447249.00
I3531010  396313.00 2455549.00
I3550291  660113.00 1813949.00
I3550741  661613.00 1815449.00
I3612010  405813.00 2448449.00
I3612060  403313.00 2454349.00
I3619910  406513.00 2451249.00
I3621010  401113.00 2460349.00
I3623691  658713.00 1817949.00
I3712010  384313.00 2457049.00
I4013010  380213.00 2456849.00
I4022010  384613.00 2466749.00
I4032010  391313.00 2480849.00
I4053010  396113.00 2481949.00
I4053020  397413.00 2475549.00
I5001015  362313.00 2431349.00
I5001016  362313.00 2431349.00
I5013010  359913.00 2429149.00
I5013020  357613.00 2428949.00
I5013030  357613.00 2428949.00
I5013040  357513.00 2428949.00
I5013050  359113.00 2428649.00
I5013610  361313.00 2429249.00
I5013615  361013.00 2429949.00
I5021010  362413.00 2432149.00
I5021020  363213.00 2434049.00
I5053010  363713.00 2443649.00
I5101010  358013.00 2442549.00
I5121020  351613.00 2447249.00
I5143010  354713.00 2456049.00
I5221010  348913.00 2460149.00
I5231010  347513.00 2479049.00
I5243010  356213.00 2472249.00
I5321510  375613.00 2484849.00
I5352010  376113.00 2482549.00
I5401510  375013.00 2484849.00
I5401520  372313.00 2484749.00
I5424041  662813.00 1793549.00
I6201010  316913.00 2500349.00
I6201020  316713.00 2500549.00
I6211010  319413.00 2494649.00
I6302010  323813.00 2507249.00
I6302020  330113.00 2499349.00
I6322010  331213.00 2495649.00
I6401010  330513.00 2490849.00
I6421010  339313.00 2486749.00
I6502010  327613.00 2464049.00
I6923010  337913.00 2521449.00
I6943010  317613.00 2520149.00
I6943110  313613.00 2521049.00
I6943410  307213.00 2520249.00
I6953510  307413.00 2524649.00
I6963810  299313.00 2518849.00
I6963820  298513.00 2517349.00
I6964010  298613.00 2516349.00
I6964210  296513.00 2514149.00
I6983010  322313.00 2463349.00
I7001010  347713.00 2428349.00
I7001030  349813.00 2427949.00
I7001040  351313.00 2428549.00
I7021010  340713.00 2432649.00
I7021020  340213.00 2432349.00
I7102010  326913.00 2439749.00
I7102020  328413.00 2436249.00
I7111010  324313.00 2442349.00
I7131010  322413.00 2447149.00
I7202010  341913.00 2450649.00
I7222010  326113.00 2455649.00
I7222020  323513.00 2455349.00
I7903410  315613.00 2440349.00
I7913010  314313.00 2435049.00
I7913610  315713.00 2427649.00
I8002010  353213.00 2417849.00
I8032020  335113.00 2418349.00
I8033810  326513.00 2420549.00
I9031010  356213.00 2405149.00
I9122010  348013.00 2393049.00
I9122020  347913.00 2392349.00
I9221010  336513.00 2404149.00
I9221020  332313.00 2405949.00
I9233010  330613.00 2403849.00
I9253010  333113.00 2409249.00
I9253020  333113.00 2409149.00
I9253510  341213.00 2410249.00
J0014010  338113.00 2380949.00
J0121510  315513.00 2380949.00
J0144010  320813.00 2387849.00
J0144210  329113.00 2384849.00
J0201510  317413.00 2395149.00
J0323010  302813.00 2399649.00
J0611610  265613.00 2371249.00
J0621610  274013.00 2377649.00
J0626610  275013.00 2372749.00
J1004510  274013.00 2405449.00
J1004520  274413.00 2403849.00
J1103010  254313.00 2388449.00
J1105810  250413.00 2385149.00
J1114010  260413.00 2383849.00
J1123010  255513.00 2394649.00
J1313010  237513.00 2398649.00
J1324010  234713.00 2399549.00
J1405310  223813.00 2397449.00
J1407110  223913.00 2397649.00
J1513010  217713.00 2395749.00
J1513020  218613.00 2402649.00
J1523010  217413.00 2400549.00
J1524010  216813.00 2397949.00
J1614010  218213.00 2412949.00
J1711710  197213.00 2401149.00
J1721710  196113.00 2415549.00
J1721720  194913.00 2424449.00
J1721730  195513.00 2422349.00
J1803010  209313.00 2400249.00
J1813010  202413.00 2425549.00
J2023010  187613.00 2427549.00
J2034010  189113.00 2435049.00
J2213110  162413.00 2405849.00
J2213120  164413.00 2407849.00
J2233010  176813.00 2409649.00
J2233020  176313.00 2419649.00
J2244010  173213.00 2425749.00
J2314910  164413.00 2421749.00
J2404010  158613.00 2412049.00
J2514010  150013.00 2418649.00
J2603010  147413.00 2414049.00
J2603015  147013.00 2414549.00
J2605410  147613.00 2414149.00
J2614010  145213.00 2412049.00
J2614020  144713.00 2414549.00
J2723010  138413.00 2416849.00
J3014310  131413.00 2422049.00
J3014320  132213.00 2427449.00
J3014330  132013.00 2419649.00
J3024010  127513.00 2421249.00
J3104010  120813.00 2425349.00
J3114010  111413.00 2419249.00
J3204010  107113.00 2415549.00
J3205710  105713.00 2413549.00
J3213010  101313.00 2413349.00
J3213020  102413.00 2413049.00
J3323010   83513.00 2405649.00
J3323020   81513.00 2407249.00
J3335410   77913.00 2399649.00
J3403010  129313.00 2395849.00
J3403020  130613.00 2395249.00
J3404110  131613.00 2396449.00
J3413010  115913.00 2405849.00
J3413020  121313.00 2407249.00
J3413030  115613.00 2405849.00
J3424810  112013.00 2404249.00
J3424820  112113.00 2403649.00
J3514010  115213.00 2396649.00
J3601810  155613.00 2393649.00
J3607510  154213.00 2393249.00
J3611810  152813.00 2381249.00
J3624010  140213.00 2390949.00
J3713010  166713.00 2385249.00
J3733010  155113.00 2375249.00
J3801810  151513.00 2374949.00
J3811810  139313.00 2369949.00
J3821810  130213.00 2373549.00
J3834010  125413.00 2381649.00
J3851820  151313.00 2391049.00
J3851830  154013.00 2386349.00
J3851850  159613.00 2380149.00
J3851860  138113.00 2374449.00
J4014010   92813.00 2359749.00
J4124410  108913.00 2341249.00
J4124420  108813.00 2343749.00
J4124430  109313.00 2340549.00
J4125720  108113.00 2343749.00
J4201910  142213.00 2363649.00
J4211910  122913.00 2353549.00
J4214510  129513.00 2363749.00
J4224010  126413.00 2351349.00
J4231910  121513.00 2352249.00
J4231911  121513.00 2352249.00
J4313010  116913.00 2356349.00
J4514010  135913.00 2338849.00
J4515410  135313.00 2340749.00
J4515420  135713.00 2339349.00
J4614010  145313.00 2340749.00
J4623010  145813.00 2335449.00
J4623020  146313.00 2338249.00
J4712010  166813.00 2353849.00
J4734010  160813.00 2355349.00
J4742010  166313.00 2338749.00
J4742015  165113.00 2347849.00
J4803010  152013.00 2349249.00
J4813010  160313.00 2336049.00
J4813020  160413.00 2336249.00
J4902010  160513.00 2335149.00
J4902011  160613.00 2334649.00
J4902012  160613.00 2334849.00
J5102210  170013.00 2338649.00
J5202110  186413.00 2391649.00
J5205210  186913.00 2391149.00
J5212110  187113.00 2384149.00
J5212120  186213.00 2386149.00
J5222110  190613.00 2372949.00
J5224010  192613.00 2376149.00
J5402110  191813.00 2371549.00
J5402120  193913.00 2371249.00
J5412110  202013.00 2368149.00
J5432110  202813.00 2359549.00
J5606810  215813.00 2343549.00
J5613010  203213.00 2335849.00
J5618310  205013.00 2339749.00
J5618320  205113.00 2339949.00
J5704810  186313.00 2337449.00
J5712130  184313.00 2329249.00
J6213010  200713.00 2316049.00
J6407110  215313.00 2312949.00
J6407120  216713.00 2308949.00
J6604410  237613.00 2305449.00
J7000610  347613.00 2359649.00
J7010610  335113.00 2353049.00
J7010620  343613.00 2355149.00
J7010630  341013.00 2355149.00
J7024010  342113.00 2351249.00
J7024020  339013.00 2347849.00
J7053010  331313.00 2354749.00
J7060610  316913.00 2353249.00
J7060620  321513.00 2352049.00
J7083110  314913.00 2360749.00
J7090610  306313.00 2353549.00
J7090630  309813.00 2354349.00
J7103010  302613.00 2373949.00
J7114010  309613.00 2368149.00
J7200610  296313.00 2352449.00
J7214010  294013.00 2361549.00
J7214050  293713.00 2359249.00
J7214080  294013.00 2361549.00
J7214090  294013.00 2361549.00
J7224010  303813.00 2350049.00
J7313010  261213.00 2357349.00
J7353010  281413.00 2356349.00
J7355010  274113.00 2347749.00
J7356010  278013.00 2348849.00
J7364210  280413.00 2345149.00
J7364220  273613.00 2343549.00
J7373110  288213.00 2357249.00
J7483010  297313.00 2343449.00
J7500610  294813.00 2340549.00
J7513010  277013.00 2341849.00
J7523020  285313.00 2337149.00
J7633010  303313.00 2325349.00
J7700610  287113.00 2319349.00
J7803020  320513.00 2308749.00
J7824010  297913.00 2309249.00
J7833010  294713.00 2308149.00
J7833020  296813.00 2307949.00
J7900060  285813.00 2309349.00
J7900610  285813.00 2309349.00
J7933010  308813.00 2297949.00
J7953010  293113.00 2298749.00
J7963010  290013.00 2299649.00
J7973010  276713.00 2317449.00
J8002310  207013.00 2382449.00
J8022310  216813.00 2363649.00
J8022311  227513.00 2346249.00
J8022320  216813.00 2363549.00
J8133010  231413.00 2367449.00
J8143010  228713.00 2357749.00
J8202310  228613.00 2343449.00
J8202320  227913.00 2345149.00
J8363110  249013.00 2343349.00
J8433010  222913.00 2326149.00
J8502310  254913.00 2315349.00
J8602410  265713.00 2341049.00
J8632410  269913.00 2323749.00
J8653010  279113.00 2328349.00
J8800230  265713.00 2310149.00
J8813010  242413.00 2312849.00
J8823010  249513.00 2311649.00
J9124410  291713.00 2290649.00
J9202510  279213.00 2286249.00
J9300610  264513.00 2296249.00
J9300611  264513.00 2296249.00
J9999999  317313.00 2392549.00
K0010010  743413.00 1976049.00
K0030010  734813.00 1981549.00
K0100010  725513.00 1986549.00
K0100020  725213.00 1988849.00
K0100023  725213.00 1988849.00
K0114010  729413.00 1994249.00
K0114020  734513.00 1993249.00
K0120010  723213.00 2000649.00
K0120020  724713.00 2000949.00
K0214010  729613.00 2002749.00
K0220010  725513.00 2005749.00
K0243010  714813.00 2014249.00
K0248810  713013.00 2011449.00
K0253010  723613.00 2007449.00
K0253020  720413.00 2006549.00
K0258010  720313.00 2003749.00
K0260010  723513.00 2008749.00
K0260020  723413.00 2008749.00
K0274010  728113.00 2007649.00
K0323010  716813.00 2030549.00
K0333010  721313.00 2023949.00
K0403010  754813.00 2008249.00
K0403020  750313.00 2000849.00
K0403030  750313.00 2000949.00
K0433010  745613.00 2019649.00
K0436510  744913.00 2011149.00
K0454010  747513.00 2025549.00
K0454020  756713.00 2026349.00
K0513010  721813.00 2043349.00
K0523010  725613.00 2035349.00
K0550010  739713.00 2034349.00
K0567520  750013.00 2036749.00
K0567530  759113.00 2035349.00
K0568310  760813.00 2032449.00
K0614010  750113.00 2059849.00
K0614020  767513.00 2042849.00
K0616010  764313.00 2058449.00
K0624510  744713.00 2053949.00
K0643110  740213.00 2056049.00
K0663310  770713.00 2072149.00
K0673310  759013.00 2069649.00
K0690010  747213.00 2073249.00
K0700010  745713.00 2084549.00
K0704510  752613.00 2076649.00
K0714010  751913.00 2083949.00
K0714510  757213.00 2088149.00
K0724510  747213.00 2087949.00
K0733220  719213.00 2078549.00
K0744010  725713.00 2086049.00
K0753210  729413.00 2084149.00
K0763310  731213.00 2069349.00
K0773210  742913.00 2083349.00
K0773220  742313.00 2082849.00
K0790010  743413.00 2092349.00
K0813010  724513.00 2096749.00
K0813020  729413.00 2093749.00
K0910010  732213.00 2112949.00
K0910050  732413.00 2112049.00
K0937010  732213.00 2119549.00
K0943010  754513.00 2111049.00
K0943030  758213.00 2114449.00
K0974010  743413.00 2107749.00
K0983010  738113.00 2110449.00
K1004510  738313.00 2116649.00
K1063010  740313.00 2129349.00
K1063020  740313.00 2129349.00
K1084010  719613.00 2127549.00
K1173210  731813.00 2152349.00
K1180010  726413.00 2165449.00
K1211810  756213.00 2235949.00
K1243010  758113.00 2226449.00
K1251810  750913.00 2224249.00
K1263110  740113.00 2251049.00
K1273110  746213.00 2223049.00
K1284810  741513.00 2224349.00
K1294510  741613.00 2218349.00
K1314010  747013.00 2208949.00
K1321810  741513.00 2207349.00
K1341810  730113.00 2171849.00
K1353010  757513.00 2190849.00
K1363010  750513.00 2180149.00
K1383010  733713.00 2164949.00
K1391810  726813.00 2167449.00
K1414010  723213.00 2158449.00
K1436010  712513.00 2151149.00
K1440010  709713.00 2171849.00
K1503010  703913.00 2126049.00
K1506410  708413.00 2115849.00
K1524010  704313.00 2133549.00
K1533010  701013.00 2137149.00
K1533020  699613.00 2141249.00
K1563010  702613.00 2167349.00
K1563020  701213.00 2164949.00
K1713010  699213.00 2230049.00
K1724210  708713.00 2213349.00
K1753110  702413.00 2205849.00
K1764010  700213.00 2215449.00
K1764020  700313.00 2213549.00
K1773010  694613.00 2206449.00
K1775510  691613.00 2213649.00
K1810310  691813.00 2186549.00
K1833010  683613.00 2199049.00
K1900010  669713.00 2215549.00
K1914510  676113.00 2218549.00
K1930010  663113.00 2220749.00
K1930030  669813.00 2215449.00
K1943010  666013.00 2237949.00
K1954010  669513.00 2237549.00
K1963010  665713.00 2229449.00
K2010810  724113.00 1958149.00
K2010820  724113.00 1958149.00
K2064010  720613.00 1971049.00
K2070810  720513.00 1971649.00
K2075010  718013.00 1973049.00
K2075020  718213.00 1973349.00
K2080810  718913.00 1974549.00
K2080820  718413.00 1973949.00
K2090810  711313.00 1982949.00
K2123010  708113.00 1964449.00
K2134010  712413.00 1970249.00
K2143010  709213.00 1974949.00
K2143020  709213.00 1974949.00
K2143030  708513.00 1977249.00
K2163110  703013.00 1977349.00
K2173010  710813.00 1982549.00
K2173020  708813.00 1980649.00
K2210810  703413.00 1997149.00
K2223020  702313.00 1989349.00
K2223021  702113.00 1990949.00
K2223030  701713.00 1991549.00
K2226010  702413.00 1989349.00
K2233020  702613.00 1997149.00
K2234020  697813.00 1992649.00
K2240810  699413.00 2003849.00
K2240820  699113.00 2004049.00
K2254010  695813.00 1997449.00
K2266210  699413.00 2011949.00
K2283110  694213.00 2008649.00
K2300810  690913.00 2013449.00
K2316210  686713.00 2016249.00
K2330810  684113.00 2029449.00
K2335510  680113.00 2027149.00
K2363010  693313.00 2022549.00
K2363020  691613.00 2023949.00
K2365510  691713.00 2022949.00
K2373110  693613.00 2041949.00
K2383110  692013.00 2028649.00
K2424010  680613.00 2037849.00
K2430810  679913.00 2043349.00
K2450810  678113.00 2048049.00
K2506010  643113.00 2011149.00
K2514010  652713.00 2015049.00
K2514020  646813.00 2025549.00
K2523010  654313.00 2017849.00
K2534010  666513.00 2027149.00
K2544010  667613.00 2028249.00
K2583010  669213.00 2039249.00
K2584510  655813.00 2036849.00
K2593010  672813.00 2043049.00
K2623010  666913.00 2048149.00
K2623020  666913.00 2048149.00
K2623030  666913.00 2048149.00
K2644010  679713.00 2069749.00
K2654010  660413.00 2061449.00
K2674010  660013.00 2065549.00
K2674030  644813.00 2063349.00
K2674040  646313.00 2063549.00
K2680810  667413.00 2073849.00
K2680820  668213.00 2068649.00
K2698210  661813.00 2077849.00
K2714010  673313.00 2090849.00
K2724210  662713.00 2086149.00
K2724220  665013.00 2088749.00
K2753010  655813.00 2114049.00
K2753030  664313.00 2106449.00
K2756110  653913.00 2114449.00
K2758610  663713.00 2105649.00
K2763110  660213.00 2091849.00
K2773120  674213.00 2100449.00
K2774010  649513.00 2100249.00
K2774020  669013.00 2099149.00
K2783010  675813.00 2101449.00
K2784510  676713.00 2102949.00
K2790810  686113.00 2108149.00
K2821910  710413.00 2043449.00
K2834010  701113.00 2050449.00
K2851910  708913.00 2061449.00
K2871910  699213.00 2077349.00
K2884010  697913.00 2078749.00
K2944010  695713.00 2083549.00
K2951910  690513.00 2093849.00
K2981910  688513.00 2099649.00
K2994010  688113.00 2107749.00
K3030810  686913.00 2118449.00
K3053100  701413.00 2114549.00
K3060310  688013.00 2125049.00
K3074010  686313.00 2126949.00
K3130810  683713.00 2137749.00
K3153010  677213.00 2141749.00
K3206010  643313.00 2084649.00
K3206020  643913.00 2083949.00
K3222010  639813.00 2092649.00
K3225010  639513.00 2089249.00
K3264010  626213.00 2096749.00
K3273010  628513.00 2098449.00
K3292010  633613.00 2103149.00
K3292020  635613.00 2108249.00
K3302010  643813.00 2114649.00
K3322010  658613.00 2124249.00
K3373010  668613.00 2140749.00
K3374710  666513.00 2138549.00
K3382010  674013.00 2146049.00
K3400810  675513.00 2156249.00
K3464010  673013.00 2175749.00
K3533010  661213.00 2181449.00
K3553010  662113.00 2187649.00
K3570810  654313.00 2195649.00
K3603010  651013.00 2189849.00
K3650810  655913.00 2216449.00
K4000010  655913.00 2224149.00
K4013010  645513.00 2210949.00
K4073110  642313.00 2252549.00
K4080010  640213.00 2260249.00
K4094010  650013.00 2261949.00
K4156510  630713.00 2287749.00
K4180001  622213.00 2298149.00
K4180010  622313.00 2298149.00
K4180020  622913.00 2297649.00
K4283110  598513.00 2315349.00
K4335001  581813.00 2323849.00
K4350010  567713.00 2322049.00
K4350020  569413.00 2322249.00
K4383110  570613.00 2316649.00
K4414010  552013.00 2313949.00
K4414090  551913.00 2313649.00
K4443010  549513.00 2307049.00
K4470010  524813.00 2287649.00
K4473110  517713.00 2280549.00
K4552210  568513.00 2286249.00
K4672210  531813.00 2281849.00
K4672220  537013.00 2282549.00
K4783010  527013.00 2287149.00
K4793010  522713.00 2283149.00
K4800010  513613.00 2276849.00
K4843010  517113.00 2283649.00
K4853000  496813.00 2271449.00
K4853010  515313.00 2279049.00
K4856010  498213.00 2273349.00
K4856020  498313.00 2273749.00
K4873110  491713.00 2286249.00
K4873120  491713.00 2286249.00
K4886410  488313.00 2277349.00
K4900010  475613.00 2267749.00
K4900020  475613.00 2267749.00
K4900030  475613.00 2267749.00
K4923020  473013.00 2273649.00
K4923030  473113.00 2273649.00
K5054010  617913.00 2126949.00
K5083010  619013.00 2130649.00
K5090900  616613.00 2130749.00
K5090910  616413.00 2130749.00
K5143110  594113.00 2132949.00
K5183010  608413.00 2131549.00
K5183020  607513.00 2131849.00
K5200910  616513.00 2139349.00
K5210910  620513.00 2145849.00
K5220900  620313.00 2149349.00
K5220910  620513.00 2154949.00
K5313010  639013.00 2164549.00
K5333110  643313.00 2167749.00
K5336010  618413.00 2157549.00
K5343210  632213.00 2145949.00
K5345910  634613.00 2140949.00
K5363210  637613.00 2157449.00
K5363220  637713.00 2163749.00
K5376810  631613.00 2164649.00
K5383010  625913.00 2169949.00
K5383020  628813.00 2167549.00
K5400910  616413.00 2186649.00
K5400920  611813.00 2191849.00
K5424010  626713.00 2189949.00
K5433010  626113.00 2192249.00
K5433020  621813.00 2191749.00
K5490900  579313.00 2246349.00
K5490910  586013.00 2240849.00
K5543010  618513.00 2223449.00
K5552300  617313.00 2227849.00
K5554580  613713.00 2231949.00
K5574100  604313.00 2233049.00
K5623010  624013.00 2200649.00
K5653010  608413.00 2226349.00
K5702300  603513.00 2231749.00
K5702310  601313.00 2231749.00
K5702320  601013.00 2231649.00
K5712310  587213.00 2242949.00
K6022410  599613.00 2168149.00
K6022420  603213.00 2183449.00
K6102420  587113.00 2205449.00
K6173110  576913.00 2224349.00
K6192410  576713.00 2240249.00
K6192420  576513.00 2242349.00
K6220910  539313.00 2252849.00
K6220940  557113.00 2254049.00
K6332510  594113.00 2284949.00
K6332520  594113.00 2284949.00
K6334010  607513.00 2276849.00
K6334020  597813.00 2284749.00
K6373020  597713.00 2271849.00
K6402510  577113.00 2269349.00
K6402520  578613.00 2269849.00
K6492510  539413.00 2254449.00
K6500910  535813.00 2252649.00
K6544010  549113.00 2239249.00
K6593010  537613.00 2250549.00
K6593020  535513.00 2251549.00
K6710910  474813.00 2264949.00
K6720910  464713.00 2262549.00
K6830010  440113.00 2251849.00
K6830020  454013.00 2259549.00
K6888888  454013.00 2259549.00
K7022610  578713.00 2165249.00
K7022620  572513.00 2177949.00
K7202610  561313.00 2193649.00
K7207510  550713.00 2203849.00
K7217502  540013.00 2206249.00
K7217503  541213.00 2208049.00
K7217510  546513.00 2214249.00
K7312610  508013.00 2224849.00
K7414010  516913.00 2237949.00
K7417501  521713.00 2237949.00
K7424010  514713.00 2243149.00
K7424020  515813.00 2244249.00
K7433010  511413.00 2240949.00
K7433020  497413.00 2246549.00
K7433030  506013.00 2242949.00
K7514010  485113.00 2250849.00
K7522620  470713.00 2254549.00
K7526010  478013.00 2251249.00
K7529010  472013.00 2249149.00
K7534510  467513.00 2251649.00
K7534520  467313.00 2252249.00
K7542610  452513.00 2255449.00
K7542620  449913.00 2255449.00
K7777777  561213.00 2193849.00
K7897801  561313.00 2193649.00
K7897802  561313.00 2193649.00
K7897803  561313.00 2193649.00
K7897804  561313.00 2193549.00
K7897805  561313.00 2193649.00
K7897806  561313.00 2193649.00
K7897807  561313.00 2193649.00
K7897808  561313.00 2193649.00
K7897809  561213.00 2193849.00
L0010610  574313.00 2077949.00
L0010620  573413.00 2077749.00
L0050630  553913.00 2082349.00
L0093010  539113.00 2085449.00
L0093020  540113.00 2083449.00
L0123020  557513.00 2095349.00
L0123030  555813.00 2091449.00
L0140610  527513.00 2098749.00
L0140620  531013.00 2096049.00
L0201510  570013.00 2098749.00
L0231510  562013.00 2110849.00
L0244510  551813.00 2111649.00
L0301510  543913.00 2111049.00
L0314010  541213.00 2106449.00
L0321510  528313.00 2101149.00
L0400610  521513.00 2096049.00
L0410610  517013.00 2092349.00
L0513010  522613.00 2081949.00
L0563010  514713.00 2084649.00
L0614010  517113.00 2096449.00
L0614020  510913.00 2090749.00
L0620610  507113.00 2089349.00
L0624010  506213.00 2086449.00
L0700610  503813.00 2094249.00
L0813010  489713.00 2102449.00
L0914010  485613.00 2095849.00
L0914020  487513.00 2094649.00
L0920610  479613.00 2097249.00
L0940610  471113.00 2114349.00
L1004010  472313.00 2112149.00
L1113010  472413.00 2118249.00
L1113020  476913.00 2117749.00
L1200610  471513.00 2131049.00
L1400610  474313.00 2157349.00
L1440610  470113.00 2175749.00
L2103010  433313.00 2147949.00
L2103020  438113.00 2152849.00
L2114010  429613.00 2136049.00
L2114020  425513.00 2134549.00
L2201610  439913.00 2155149.00
L2213010  414413.00 2169149.00
L2213020  407413.00 2175549.00
L2253010  432413.00 2161749.00
L2303010  465513.00 2128949.00
L2313050  442413.00 2161449.00
L2321610  442513.00 2162049.00
L2334010  449313.00 2171149.00
L2341620  447413.00 2177049.00
L2341630  447813.00 2177249.00
L2404020  437013.00 2176349.00
L2404030  441913.00 2177649.00
L2404040  446213.00 2177449.00
L2424010  427113.00 2186649.00
L2443010  440813.00 2182449.00
L2501610  453613.00 2190949.00
L3033010  465813.00 2198749.00
L3100610  462613.00 2202749.00
L3123010  459413.00 2203049.00
L3200610  464913.00 2210149.00
L4010710  586813.00 2098649.00
L4024510  594813.00 2087949.00
L4033010  587613.00 2103549.00
L4110710  576013.00 2124849.00
L4210710  567813.00 2136049.00
L4220710  549413.00 2153349.00
L4321710  573713.00 2150849.00
L4411710  550213.00 2154149.00
L4523010  544313.00 2153449.00
L4523020  542813.00 2150249.00
L4530710  544413.00 2161849.00
L4540710  542313.00 2168349.00
L4540720  537213.00 2176749.00
L4603010  559613.00 2177549.00
L4653010  545713.00 2185349.00
L4710710  519813.00 2181949.00
L4730710  501913.00 2182349.00
L4730720  494113.00 2193649.00
L5001810  557513.00 2124449.00
L5014110  554313.00 2127549.00
L5021810  532513.00 2125549.00
L5034010  534913.00 2122149.00
L5101810  530213.00 2124149.00
L5114010  526513.00 2115449.00
L5134010  507713.00 2128549.00
L5223010  500613.00 2124749.00
L5223020  498313.00 2126849.00
L5301810  492813.00 2132549.00
L5301811  531513.00 2124449.00
L5323010  496813.00 2139949.00
L5401810  491813.00 2143649.00
L5411810  487213.00 2159149.00
L5411820  487113.00 2179049.00
L5511910  516813.00 2167649.00
L5561910  504713.00 2175049.00
L5623010  517013.00 2151149.00
L5733020  496513.00 2166449.00
L5741910  491913.00 2182049.00
L5741920  488513.00 2190249.00
L5801810  487513.00 2192449.00
L5821810  485613.00 2197749.00
L6000710  483813.00 2199849.00
L6020710  475613.00 2213449.00
L6202010  487613.00 2209049.00
L6202020  483913.00 2213149.00
L6202030  484313.00 2213049.00
L6216910  484213.00 2221049.00
L6216920  485113.00 2221249.00
L7000610  463913.00 2229349.00
L7000620  463013.00 2232749.00
L7024010  463313.00 2239649.00
L7024030  461613.00 2240149.00
L7123001  445913.00 2235449.00
L7220610  441313.00 2242649.00
L8000010  427413.00 2249149.00
L8000020  417513.00 2254249.00
L8102110  390413.00 2181749.00
L8102120  398213.00 2184149.00
L8114010  401213.00 2179649.00
L8114020  400913.00 2183649.00
L8116410  399313.00 2186549.00
L8122110  403413.00 2187349.00
L8122120  402913.00 2187349.00
L8122130  408613.00 2199749.00
L8122140  408913.00 2201549.00
L8122150  408613.00 2199749.00
L8134010  405513.00 2197849.00
L8134020  406913.00 2200249.00
L8134030  404713.00 2195249.00
L8142110  411213.00 2212249.00
L8203010  395213.00 2206149.00
L8213010  407113.00 2215949.00
L8216210  406613.00 2214649.00
L8222110  407613.00 2220049.00
L8232110  403613.00 2225149.00
L8303010  372613.00 2216949.00
L8303020  372213.00 2216249.00
L8307310  377013.00 2220049.00
L8343010  395213.00 2225449.00
L8402110  407913.00 2236249.00
L8402111  407413.00 2236049.00
L8402112  407413.00 2236049.00
L8402113  407413.00 2236049.00
L8402130  411113.00 2240249.00
L8503010  420713.00 2209849.00
L8523010  415813.00 2235849.00
L8602110  417013.00 2249049.00
L8602120  417013.00 2249049.00
L8700010  384113.00 2272949.00
L9004010  437913.00 2261149.00
L9005410  437113.00 2260049.00
L9006210  442013.00 2253849.00
L9102210  409113.00 2267249.00
L9113010  442513.00 2274649.00
L9113020  422413.00 2270449.00
L9117310  422613.00 2270549.00
L9203010  421413.00 2285149.00
L9213010  406513.00 2276049.00
L9214510  406313.00 2278649.00
L9222210  400113.00 2280349.00
L9225410  383913.00 2274049.00
