"","V1","V2","V3","V4","V5","V6"
"4688",23.1825807731695,31.5091802611367,35.8940643881208,49.1113920378904,55.6744974654378,57.0502411930364
"4689",32.044932037037,36.0352375925926,34.4687561640212,40.5491491269841,35.1769410846561,38.3011713492063
"4690",28.1026899129544,38.0381874551971,40.6654806963646,36.7939032770097,41.001815719406,43.7647996415771
"4691",32.2858071428571,32.4882319047619,34.1207012169312,31.9388081481481,31.1623405291005,33.1761074603175
"4692",12.4192892217102,17.0623724270353,17.0220174347158,16.9344060675883,16.5412076548899,16.4382798003072
"4693",8.74562749615975,12.0042765432099,12.3153697597239,11.7407224213461,12.0595398380459,12.4188175228992
"4694",8.1512855090312,8.06754817812182,7.48543923554096,7.38202732368384,7.29051185408178,7.44233632852886
"4695",16.0721465181772,17.5816278801843,15.681901203277,14.0279746448958,15.4222749236692,15.171936519315
"4696",18.7776793650794,21.8526547089947,21.8270006878307,22.9435191534392,25.3103274622771,22.5200233196159
"4697",42.8949477214542,47.7148298515105,47.273026062468,47.9013139784946,50.9981828469022,48.3905637594584
"4698",32.1622756084656,36.8190687301587,47.0970896296296,48.0441754497354,46.9894519047619,56.4306013756614
"4699",24.2494155913978,29.0367306963646,26.3410311059908,27.0850331029186,29.3261508192524,36.4692293138761
"4700",27.8635182283666,31.6831930363543,28.5677346646185,33.1944533026114,32.3728542242704,33.5936184331797
"4701",28.462496005291,36.718782037037,35.0519936772487,36.5792005555556,37.9291432010582,37.6908522486773
"4702",41.9056177163338,60.0070520737327,59.2920567332309,63.1936265232975,63.0814571428571,65.1269664106503
"4703",29.5886712169312,38.4670154497354,38.5279743386243,38.3821034920635,37.7263939153439,39.8308042857143
"4704",13.0127686635945,11.9965822324629,12.6335882232463,12.424886328725,12.2967231438812,12.3627852022529
"4705",6.05077828981055,10.5422838444179,16.316707473782,13.7810918624718,13.1539748572946,13.8453044736493
"4706",10.9026786193213,9.75906521522402,9.10479466946421,9.31366996999737,10.0971764874617,8.52352883800604
"4707",22.6138542242704,24.483521812596,14.5856875576037,14.7783060400903,14.373832868711,16.3220519580512
"4708",42.7342296031746,36.7877037301587,30.7602313492063,28.4865810846561,29.7932367626886,30.214735473251
